title	category
ဆံရစ်ဝိုင်းကလေးများကို  အတိုင်ပင်ခံပုဂ္ဂိုလ်တွေ့ဆုံ၊ ပညာဆက်သင်ကြရန်တိုက်တွန်း 	3
မကွေးတိုင်းဒေသကြီး၊ ပွင့်ဖြူမြို့နယ် ရေဘုတ်ကြီးကျေးရွာက ကလေးငယ်တွေဟာ လေးတန်းအောင်ရင် ကျောင်းထွက်ကြတာများတဲ့အတွက် ပညာဆက်လက်သင်ကြဖို့ နိုင်ငံတော် အတိုင်ပင်ခံပုဂ္ဂိုလ် ဒေါ်အောင်ဆန်းစုကြည်က	3
ပညာရေး သတင်း သတင်းဓာတ်ပုံ	3
မန္တလေး နည်းပညာတက္ကသိုလ် အမျိုးသမီးအဆောင်သစ် ဖွင့်လှစ် (ဓာတ်ပုံ)	3
မန္တလေးတိုင်းဒေသကြီး၊ ပုသိမ်ကြီးမြို့နယ်ရှိ နည်းပညာတက္ကသိုလ်(မန္တလေး) မှာ အမျိုးသမီးအဆောင်သစ်ကို ဇွန်လ ၂၆ ရက်နေ့က ဖွင့်လှစ်လိုက်ပါတယ်။ မေသီရိလို့	3
ယနေ့လူငယ်နှင့် ပြောင်းလဲလာသော တက္ကသိုလ်ဝင်ခွင့် ဆွေးနွေးပွဲ ပြုလုပ်	3
အနာဂတ်မှာပြောင်းလဲလာတဲ့ ပညာရေးစနစ်တွေအကြောင်းနဲ့ တက္ကသိုလ်ဝင်ခွင့် အောင်မြင်ပြီးတဲ့ လူငယ်တွေရဲ့ ဝါသနာနဲ့ကိုက်ညီတဲ့ဘာသာရပ်တွေ သင်ကြားနိုင်ဖို့ အကြံပြုဝေမျှတဲ့ ဆွေးနွေးပွဲကို ဇွန်လ	3
တကမ္ဘာလုံးဆိုင်ရာ နည်းပညာပြိုင်ပွဲ မြန်မာမသန်းစွမ်းလူငယ်များ ယှဉ်ပြိုင်မည်	3
တကမ္ဘာလုံးဆိုင်ရာ မသန်စွမ်းလူငယ်များအတွက် အိုင်စီတီနည်းပညာသင်တန်းနဲ့ မသန်စွမ်းလူငယ်များရဲ့ ၂၀၁၉ ကမ္ဘာလုံးဆိုင်ရာ နည်းပညာစိန်ခေါ်မှူပြိုင်ပွဲ ပဏာမရွေးချယ်မှူပြိုင်ပွဲကို ပထမအကြိမ်အဖြစ် မြန်မာနိုင်ငံ	3
တက္ကသိုလ် ၁၄ ခုတွင် ကျောင်းဝင်ခွင့် သီးခြားခေါ်ယူမည်	3
