title	category
H1N1 ကြောင့် သေဆုံးသူ ၁၅ ဦးရှိပြီ၊ သေဆုံးသူအများစု နာတာရှည်ရောဂါအခံရှိသူများဖြစ်	1
ရာသီတုပ်ကွေး H1N1 ရောဂါကြောင့် သေဆုံးသူ ၁၅ ဦးရှိပြီဖြစ်ပြီး သေဆုံးသူအများစုဟာ နာတာရှည်ရောဂါအခံ ရှိနေသူတွေလို့ ကျန်းမာရေးဝန်ကြီးဌာန	1
ကျန်းမာရေး ဆောင်းပါး	1
တုပ်ကွေးကာကွယ်ဖို့ သွေးအမျိုးအစားအလိုက် ဘာတွေစားကြမလဲ	1
မိုး အေးတဲ့အချိန်မှာ မျှော်လင့်မထားတဲ့ရောဂါတွေက အလုံးအရင်းနဲ့ဝင်လာတတ်တယ်နော်။ ဒီလိုဝင်လာတဲ့ရောဂါတွေထဲမှာ ခံရအခက်ဆုံးက ရာသီတုပ်ကွေးပါ။ အချို့သောရာသီတုပ်ကွေးတွေက အသက်သေဆုံးသည်အထိပြင်းထန်နိုင်တာကြောင့် ကာကွယ်နိုင်မှ တော်ကာကျမှာပါ။	1
ကျန်းမာရေး သတင်း	1
အာဖရိကဝက်တုပ်ကွေး သတိထားရမည့်အခြေအနေရှိ၊ စနစ်တကျပညာပေးရန် အတိုင်ပင်ခံ တိုက်တွန်း	1
အာဖရိက ဝက်တုပ်ကွေးရောဂါဟာ သတိထားရမယ့် အခြေအနေမှာ ရှိနေတာကြောင့် ဝန်ကြီးဌာနနဲ့ တိုင်းဒေသကြီးအစိုးရက တောင်သူလယ်သမားတွေကို စနစ်တကျ ပညာပေးဖို့နဲ့	1
ကျန်းမာရေး သတင်း	1
H1N1 သံသယဖြင့် သေဆုံးသူ ၆ ဦးကို ပို့ဆောင်ကူညီပေးခဲ့ဟု နာကူအသင်းထုတ်ပြန်	1
ရာသီတုပ်ကွေး H1N1 သံသယနဲ့ သေဆုံးသူ ၆ ဦးအား ပု့ိဆောင်ကူညီပေးခဲ့တယ်လို့ နာရေးကူညီမှုအသင်း (ရန်ကုန်) က	1
ကျန်းမာရေး သတင်း	1
H1N1 တုပ်ကွေးရောဂါဖြင့် အမျိုးသမီး ၁ဦးနှင့် ကလေးငယ် ၁ဦး ထပ်မံသေဆုံး	1
ရာသီတုပ်ကွေးရောဂါ H1N1 ပိုးတွေ့လူနာတွေထဲကနေ ဇွန် ၂၄ ရက်နဲ့ ၂၅ရက်အတွင်း ရန်ကုန်မှာ သတ်လတ်ပိုင်း အမျိုးသမီးတဦးနဲ့	1
ကျန်းမာရေး လူမှုရေး သတင်း	1
ဆေးဝါးလိုအပ်သူများအတွက် အခမဲ့ Medicine Box ပဲခူးဆေးရုံကြီး၌ စတင်ထားရှိ	1
ဆေးဝါးအကူအညီ လိုအပ်နေသူတွေ အခမဲ့ရယူနိုင်မယ့် မြန်မာနိုင်ငံရဲ့ ပထမဆုံး Medicine Box (ဆေးပုံး) တခုကို ပဲခူးမြို့ရှိ	1
ကျန်းမာရေး သတင်း	1
မန္တလေးဆေးရုံကြီးတွင် AH1N1 သံသယလူနာ မရှိသေး	1
မန္တလေးမြို့ အထွေထွေရောဂါကု ဆေးရုံကြီးမှာ AH1N1 ရာသီတုပ်ကွေးရောဂါနဲ့ ပတ်သက်တဲ့လူနာ ရောက်ရှိလာတာ မရှိသေးဘူးလို့ တိုင်းဒေသကြီး ပြည်သူ့	1
မြန်မာဆယ်ကျော်သက်များ၏ ထက်ဝက်ခန့် အသက် ၁၄ နှစ် မတိုင်ခင် အရက်စသောက်နေ	1
မြန်မာနိုင်ငံမှာ ဆယ်ကျော်သက်အရွယ်တွေရဲ့ ထက်ဝက်လောက်ဟာ အသက် ၁၄ နှစ် မတိုင်ခင် အရက်ကို စသောက်နေကြပြီလို့ နိုင်ငံတော်	1
ကျန်းမာရေး သတင်း နိုင်ငံတကာ	1
ယူဂန်ဒါတွင် အီဘိုလာရောဂါပိုးရှိသည့် ပထမဆုံးလူနာ တွေ့ရှိ	1
အီဘိုလာရောဂါပိုးရှိတဲ့ လူနာကို ယူဂန်ဒါနိုင်ငံမှာ ပထမဆုံး တွေ့ရတယ်လို့ ယူဂန်ဒါ ကျန်းမာရေးဝန်ကြီးဌာနနဲ့ ကမ္ဘာ့ကျန်းမာရေးအဖွဲ့ (WHO) က	1
ကျန်းမာရေး သတင်း	1
အနံ့ဆိုးထွက်နေသည့် မော်လမြိုင် ခနောက်စိမ်းစက်ရုံကို စစ်ဆေးနေ	1
လေထုညစ်ညမ်းမှုကြောင့် တိုင်ကြားခံထားရတဲ့ မော်လမြိုင် ခနောက်စိမ်းစက်ရုံတွေကို ပြည်ထောင်စုအဆင့်ကတာဝန်ရှိသူတွေ ကော်မတီဖွဲ့ပြီး လာရောက် စစ်ဆေးခဲ့ပါတယ်။   ဒီခနောက်စိမ်း	1
ကျန်းမာရေး သတင်း	1
ဘုတလင်မြို့နယ်၌ ကြွက်များသေဆုံးမှု ပလိပ်ရောဂါကြောင့်မဟုတ်ဟု ကျန်းမာရေးဌာနထုတ်ပြန်	1
စစ်ကိုင်းတိုင်ဒေသကြီး၊ ဘုတလင်မြို့နယ်ထဲမှာ  ကြွက်တွေ အစုလိုက်သေဆုံးခဲ့ရတာဟာ ဘက်တီးရီယားပိုးတမျိုးကြောင့်ဖြစ်ပြီး ပလိပ်ရောဂါပိုးမတွေ့ရဘူးလို့ ကျန်းမာရေးဝန်ကြီးဌာနက ထုတ်ပြန်ပါတယ်။ ဘုတလင်မြို့နယ်၊ မောင်းထောင်ရွာနဲ့	1
ကျန်းမာရေး ဆောင်းပါး	1
ပန်းသီးရှာလကာရည်သောက်ရင် သတိထားသင့်တဲ့အချက် (၆) ချက်	1
အကျိုးကျေးဇူးများတယ်ဆိုပြီး ပန်းသီးရှာလကာရည်က အတော်လေးခေတ်စားသွားသေးတယ်နော်။ အဆီလည်းကျတယ်၊ နှလုံးအတွက်ကောင်းတယ်၊ အသားလှတယ်၊ အဆိပ်အတောက်သန့်စင်ပေးတယ် စတဲ့အစွမ်းအာနိသင်တွေရှိတယ်။ ဒါ့ကြောင့် ရတဲ့နေရာက	1
ကျန်းမာရေး သတင်း	1
ဝမ်းတွင်းမြို့နယ်တွင် သားအဖ ၃ ဦး အစာအဆိပ်သင့်	1
မန္တလေးတိုင်း၊ ဝမ်းတွင်းမြို့နယ်၊ ကင်းရွာကုန်းရွာမှာ ဇွန် ၆ ရက်မနက်က သားအဖ ၃ ဦး အစာအဆိပ်သင့်ပြီး	1
ကျန်းမာရေး သတင်း	1
ကင်ဆာပျောက်ကင်းသွားသည့်လူနာများအား ဂုဏ်ပြုအခမ်းအနား ရန်ကုန်တွင်ကျင်းပ	1
