title	category
ကော်နီ သည် မြန်မာ အဆိုတော် တစ်ဦးဖြစ်ပြီး ဟဲဗီး မက်တယ် နှင့် ပေါ့ အမျိုးအစားသီးချင်းများကို သီဆိုခဲ့သူလည်းဖြစ်သည်။ ကော်နီ ၏ 	1
အအောင်မြင်ဆုံး ကာလများမှာ ၁၉၈၀ အစောပိုင်း မှ ၁၉၉၀ နောက်ပိုင်းထိ နာမည်ကျော်ကြားခဲ့သည်။	1
ပထမဦးဆုံး New Wave band ၏ နောက်ခံအဆိုတော်ဖြစ်ခဲ့ပြီး ၁၉၈၀ အလယ်ပိုင်းကာလတွင်မှ အောင်မြင်သော အဆိုတော် 	1
တစ်ဦးဖြစ်လာခဲ့သည်။ သူမ ၏ တေးရေးဆရာမှာ သုခမိန်လှိုင်ဖြစ်ပြီး သူမ၏ ပထမဆုံး သီချင်းခွေမှာ ၁၉၈၆ တွင်ထွက်ရှိသော တာဇံ ဖြစ်ကာ 	1
အောင်မြင်မှုရရှိခဲ့ပြီး နင်ဂျာ အယ်ဘမ်ကို ဆက်လက်ထုတ်ဝေခဲ့သည်။[၂]	1
မကြည်အောင်သည် ကျော်ကြားလှသော မြန်မာအမျိုးသမီး ဓာတ်ပြားအဆိုတော်ကြီးတစ်ဦး ဖြစ်သည်။	1
ရန်ကုန်မြို့၊ စက်ဆန်းရပ်၊ ကုန်သည် ဦးဘိုးကြူး၊ ဒေါ်ရီတို့မှ မွေးဖွားခဲ့ပြီး သားသမီး ၁၄ ယောက်တို့အနက် အငယ်ဆုံးဖြစ်ပါသည်။ ၁၂၆၁ 	1
ခုနှစ်တွင် ပုဇွန်တောင်၊ စက်ဆန်းရပ်ကွက်၌ မွေးဖွားခဲ့သည်။ ငယ်စဉ်ကတည်းက အနုပညာဝါသနာကြီးခဲ့ပြီး အဘိုး (အဖေ၏ဖခင်) 	1
ဦးအောင်ရထံမှ သဘင်ဂီတ ဗဟုသုတများ ကြားနာမှတ်သားခဲ့ဘူးသည်။ ငယ်မည်မှာ မသန်းတင် ဟု မှည့်သည်။ သို့သော် မခင်ကြည်ဟုပင် ခေါ်ကြသည်။	1
ငယ်စဉ်ကပင် အသံကောင်း၊ ရုပ်ရည်ချောလှပြီး အကအခုန်၊ အဆိုအတီး ဝါသနာကြီးလှသဖြင့် မိဘများက စက်ဆန်းရပ်ရှိ ဇာတ်ဆရာ 	1
ဦးလွမ်းထံတွင် အပ်နှံသင်ကြားခိုင်းသည်။ ပုဇွန်တောင်ရပ်ကွက် အလှူပွဲ၊ ဆွမ်းကြီးလောင်းပွဲများတွင် အပျော်တမ်း 	1
အငြိမ့်သီချင်းများသီဆိုကပြခဲ့ရာမှ နာမည်ရလာကာ လူရွှင်တော်ကြီး ဦးကျော်ရွဲ့၏ အငြိမ့်အဖွဲ့တွင် စတင်ကပြခဲ့သည်။ ၎င်းနောက် အမည်ရင်း 	1
မခင်ကြည် အမည်ပျောက်၍ ချန်ပီယံ မကြည်အောင်ဟု အမည်သစ်ဖြင့် ထင်ရှားလာခဲ့သည်။ မူလဓာတ်ခံနှင့် ဉာဏ်ကကောင်းလှသဖြင့် မင်းသား၊ 	1
မင်းသမီးအက၊ အငြိမ့်အက၊ ဇာတ်က အားလုံးကို အသက်(၁၃)နှစ် သမီးလောက်ကတည်းက မွှတ်နေအောင် ကတတ်သူဖြစ်သည်။ အသက် 	1
(၁၄)နှစ်အရွယ်တွင် အလုပ်လုပ်ရင်း ပညာဆည်းပူးရန် မန္တလေးသို့ ထွက်ခဲ့သည်။ မန္တလေးတွင် ဆက်သွယ်ရရှိသော ပညာရှင်များထံမှီခို၍ 	1
အငြိမ့်ထဲလိုက်ကာ ပညာရှာလေသည်။ မန္တလေးတွင် နာမည်ကြီးသော ဒေါ်ဩဘာသောင်း၊ ဒေါ်အယ်လင်စိန်တို့နှင့် တွဲဖက် ကခဲ့လေသည်။ 	1
အသက် (၁၄)နှစ်အရွယ်မှစ၍ ခေါင်းဆောင်မင်းသမီးဖြစ်ခဲ့သည်။ ရန်ကုန်သို့ပြန်ပြီး ကိုယ်ပိုင်အဖွဲ့တည်ထောင်၍ မင်းသမီးဩဘာစိန်၊ 	1
ဒေါင်းယဉ်ပျံတင်လှိုင်တို့နှင့် တွဲဖက် ကပြခဲ့ပြန်သည်။[၁] အငြိမ့်လောကတွင် (၇)နှစ်မျှ ကပြခဲ့ပြီး အသက်(၂၂)နှစ်တွင် ဧရာဝတီ 	1
သင်္ဘောစာရေး ကိုဘနှစ်ဆိုသူနှင့် အိမ်ထောင်ပြုခဲ့သည်။ ကိုဘနှစ်မှာလည်း စက်ဆန်းဇာတိဖြစ်သည်။ အရပ်မင်းသားဟု အနုပညာရပ်၌ 	1
ကျော်ကြားသူဖြစ်လေရာ လင်ရောမယားပါ ဝါသနာတူညီသည်။ သူတို့၏နေအိမ်တွင် အနုပညာသည်အများစုတို့ ဆုံဆည်းကြတော့သည်။	1
မူလဆရာရင်းဖြစ်သော အရှေ့ပိုင်းဆရာချစ်၏ ဆက်သွယ်ပေးမှုကြောင့် ချန်ပီယံ မကြည်အောင်မှာ ခွေးတံဆိပ်ဓာတ်ပြားကုမ္ပဏီတွင် 	1
ဓာတ်ပြားအဆိုတော် ဖြစ်လာရသည်။ ခွေးတံဆိပ်ဓာတ်ပြားများတွင် “ကိုလေအိုး”သီချင်းမှာ တိုင်းပြည်တစ်ဝှမ်းလုံး၌ ကျော်ကြားသွားခဲ့သည်။ 	1
ဓာတ်ပြားအဆိုတော်ဖြစ်လာသောအခါ အငြိမ့်အမည်ဖြစ်သော ချန်ပီယံ မကြည်အောင်အဖြစ်မှ ချန်ပီယံဖြုတ်လိုက်ပြီး မကြည်အောင်ဟု 	1
မှည့်ခေါ်လိုက်သည်။	1
၁၉၃၂ခုနှစ်တွင် ကိုလံဘီယာ ဓာတ်ပြားကုမ္ပဏီသို့ ပြောင်းရွှေ့သီဆိုသည်။ ခင်ပွန်းဖြစ်သူ ကိုဘနှစ်ကိုလည်း ဓာတ်ပြားထုတ်လုပ်ရေးဆိုင်ရာ 	1
ကြီးကြပ်သူအဖြစ် ခန့်ထားလိုက်သည်။	1
သီချင်းရေးဆရာ ဒဂုန်ဆရာတင်၏ တရုပ်ပြည်မြကျောက်လွှာ သီချင်းမှာ ကိုလံဘီယာ ဓာတ်ပြားကုမ္ပဏီတွင် မကြည်အောင် ပထမဦးဆုံး 	1
သီဆိုဓာတ်ပြားသွင်းခဲ့သော သီချင်းဖြစ်သည်။ နာမည်ကျော် သီချင်းရေးဆရာကြီးများဖြစ်ကြသော လှည်းတန်းဦးလူကလေး၊ 	1
အရှေ့ပိုင်းဆရာချစ်၊ နန်းတော်ရှေ့ဆရာတင်၊ ဒဂုံဆရာတင်၊ ရွှေဂုံညွန့်၊ ရွှေတိုင်ညွန့်၊ သဟာယဆရာတင်တို့၏ သီချင်းများကို သီဆိုခဲ့ရသည်။	1
၎င်းတို့အနက် နန်းတော်ရှေ့ဆရာတင်နှင့် ရွှေတိုင်ညွန့်၏ သီချင်းများကို အများဆုံး သီဆိုခွင့်ရခဲ့သည်။ ဤသို့ဖြင့် ကိုလံဘီယာကုမ္ပဏီတွင် 	1
နာမည်အကျော်ဆုံး အဆိုတော်ကြီးဖြစ်လာခဲ့ရသည်။ ဓာတ်ပြားချပ်ရေ (၁၀၀)ကျော် သွင်းခဲ့ရသည်။ ဒုတိယကမ္ဘာစစ်ကြီး ဖြစ်ပွားလာသောအခါ 	1
