title	category
ပထဝီဝင် ဆိုသည်မှာ ကမ္ဘာမြေ နှင့်တကွသော အစိတ်အပိုင်းများ၊ ဆက်စပ် မှီတင်းသောအရာများ နှင့် သဘာဝ	2
 ပတ်ဝန်းကျင်တို့ကို လေ့လာသော ဘာသာရပ်တခုဖြစ်သည်။	2
ကမ္ဘာမြေ၏ အစိတ်အပိုင်း (ရူပ ပထဝီဝင်) ဆိုရာ၌ တိုက်ကြီးများ၊ ပင်လယ်၊ သမုဒ္ဒရာ၊ မြစ်၊ ချောင်းများ နှင့် တောင်များ	2
 စသည်တို့ကို ဆိုလိုသည်။ ဆက်စပ်မှီတင်းသောအရာများမှာ သက်ရှိများ 	2
ဖြစ်သော လူ တိရိစ္ဆာန်များ သစ်ပင် စသည်များကို ဆိုလိုပြီး၊ သဘာဝပတ်ဝန်းကျင် 	2
ဆိုရာတွင် မိုးလေဝသ၊ လေမုန်တိုင်းများ၊ ဒီရေ၊ ငလျင် အစရှိသော သဘာဝဘေးအန္တရာယ် အကြောင်းအရာများ ပါဝင်သည်။	2
ပထဝီဝင်ဘာသာရပ် ပညာရှင် တဦးသည် ပတ်ဝန်းကျင်ရှိ အရာများ၊ အကြောင်းအရာများ နှင့် ပတ်သက်၍ မည်သို့ 	2
စတင်ဖြစ်ပေါ်သည်၊ မည်သို့ ဆက်လက် ပြောင်းလဲ ဖြစ်ပေါ်သည် တို့ကို အမြဲမပြတ် လေ့လာသုံးသပ်သည်။	2
ပထဝီဝင်ဘာသာရပ်သည် သဘာဝသိပ္ပံ ဘာသာရပ် (Ecology)၊ နှင့် လေ့လာမှုနယ်ပယ် 	2
တူညီမှုများ ရှိသော်လည်း မတူ ကွဲပြားခြားနားသည်။	2
သဘာဝသိပ္ပံပညာရှင်များက အနာဂါတ် ဖြစ်ရပ်များအပေါ် ခန့်မှန်း တွက်ချက်မှုများ ပြုနေစဉ်တွင် 	2
ပထဝီဝင်ပညာရှင်များက မည်သို့ စတင်ကာ မည်သို့ ပြောင်းလဲဖြစ်ပေါ်လာကြောင်းကို ဖြေရှင်းနိုင်ရန်	2
 စူးစမ်းရှာဖွေကြသည်။ သဘာဝ သိပ္ပံပညာရှင်များသည်လည်း ၎င်းတို့၏ ခန့်မှန်း တွက်ချက်မှုများအတွက် ပထဝီဝင် 	2
ပညာရှင်များကဲ့သို့ လေ့လာကြရသည်။ ပထဝီဝင် (Geography) သည် ဂရိဘာသာစကား 	2
ဆင်းသက်လာသော စကားဖြစ်သည်။ မြန်မာမှု ပြုထားသော ပထဝီဝင်ဆိုသည်မှာ (ပထဝီ(ပါဠိ) = မြေ 	2
သို့မဟုတ် ကမ္ဘာ) + (ဝင်= ဝံသ(ပါဠိ)=အကြောင်းအရာ) ဟူသော စကားမှ ဆင်းသက်သည်။	2
ပထဝီဝင်ဟူသည်မှာ ကမ္ဘာ့မြေမျက်နှာပြင်အကြောင်းကို အထူးဂရုပြု၍ လေ့လာသော သိပ္ပံပညာဖြစ်သည်။ ကမ္ဘာ 	2
မျက်နှာပြင်အကြောင်းကို လေ့လာရာ၌ ပထဝီပညာရှင်သည် ကမ္ဘာပေါ်ရှိ အရပ်ဒေသ တစ်ခုနှင့်တစ်ခု 	2
ကွဲပြားခြားနားပုံများကို စူးစမ်းရှာဖွေ၍၊ အကျိုးအကြောင်းနှင့် ရှင်းလင်းဖော်ပြသည်။ ဤကမ္ဘာ့ မျက်နှာပြင်ကို 	2
ကြည့်ရှုရာ၌ မြေပြင်တစ်ခုတည်းကို သာမက၊ ယင်းအပေါ်တွင် တည်ရှိနေသော ပါးလွှာသော လေထုနှင့် 	2
ယင်းအောက်တွင် တည်ရှိနေသော ရေထုတို့ကိုပါ ထည့်သွင်း၍ ကြည့်ရှုသည်။ ယင်းသည့် လေထု၊ မြေထု၊ ရေထုတို့ 	2
တွေ့ဆုံရာ ရပ်ဝန်းအတွင်း၌သာ သက်ရှိသက်မဲ့တို့ “ ကျွန်းကိုင်းမှီ ကိုင်းကျွန်းမှီ ” ဆိုသကဲ့သို့၊ တစ်ခုနှစ်တစ်ခု အမှီပြု 	2
လျက် ဆက်သွယ်ကာ တည်ရှိနေကြသည်။ ဤကဲ့သို့ ပုံစံ အမျိုးမျိုးဖြင့် ပေါင်းစပ် တည်ရှိနေကြခြင်းကြောင့်လည်း 	2
ကမ္ဘာမျက်နှာပြင်တွင် မြေပြင်လက္ခဏာ အမျိုးမျိုး ဖြစ်ပေါ်လာကြခြင်း ဖြစ်သည်။ ခေတ်သစ်ပထဝီဝင်၏ အဓိက 	2
ရည်ရွယ် ချက်မှာ ကမ္ဘာ့မျက်နှာပြင် တစ်စိတ်တစ်ဒေသတော် သို့မဟုတ် တစ်ခုလုံးတွင်သော်လည်းကောင်း 	2
ဖြစ်ပေါ်တည်ရှိနေသော အကြောင်း ချင်းရာ အမျိုးမျိုးတို့ကို စုပေါင်း လေ့လာရန်ဖြစ်သည်။ ထိုကြောင့် ပထဝီဝင်သည် 	2
ကမ္ဘာပေါ်ရှိ အရပ်ဒေအသီးသီးတွင် မည်ကဲ့သို့ အသွင်အပြင်ရှိသည်၊ အရပ်ဒေသ တစ်ခုနှင့်တစ်ခု 	2
မည်ကဲ့သို့ခြားနားသည်။ သို့မဟုတ် ဆင်တူသည်၊ အဘယ် ကြောင့် ဤကဲ့သို့ ဖြစ်ကြရသည် အစရှိသည်တို့ကို လေ့လာ 	2
ပေသည်။ ကမ္ဘာပေါ် သက်ရှိသက်မဲ့တို့၏ တစ်ခုနှစ်တစ်ခု ဆက်သွယ်လျက် တည်ရှိနေကြ၏။ ပုံစံပြရသော် ငါးသည် 	2
သက်ရှိသတ္တဝါ ဖြစ်သော်လည်း၊ အသက်မရှိသော ရေ၌သာ တည်နေနိုင်သည်။ ထို့အတူ အသက် ရှိသော သစ်ပင်သည် 	2
