title	category
ပထမအင်္ဂလိပ်မြန်မာစစ်သည် ခရစ်နှစ် ၁၈၂၄-ခုနှစ်တွင် 	3
စတင်ဖြစ်ပွားခဲ့သည်။ ကုန်းဘောင်ခေတ်၊ ဘကြီးတော်(စစ်ကိုင်းမင်း) လက်ထ	3
က်တွင် ဖြစ်ပွားခဲ့ခြင်း ဖြစ်သည်။ ရှင်မဖြူကျွန်း ကိစ္စနှင့် ပတ်သက်၍ အငြင်းပွားရာမှ 	3
စတင်ဖြစ်ပွားခဲ့ခြင်းဖြစ်သည်။ ခရစ်နှစ် ၁၈၂၆-ခုနှစ်တွင် ရန္တပိုစာချုပ်ချုပ်ဆိုပြီး 	3
စစ်ပွဲပြီးဆုံးသည်။ ပထမ အင်္ဂလိပ်မြန်မာစစ်တွင် မြန်မာတို့ ရှုံးနိမ့်ခဲ့ပြီး 	3
အကျိုးဆက်အနေဖြင့် အာသံ၊ မဏိပူရ၊ ရခိုင် နှင့် တနင်္သာရီဒေသတို့ကို အင်္ဂလိပ်တို့အား 	3
ပေးအပ်ခဲ့ရသည်။ စစ်ပွဲတွင် စစ်သူကြီးမဟာဗန္ဓုလ ဓနုဖြူ တိုက်ပွဲတွင် ရဲရဲဝံ့ဝံ့ 	3
တိုက်ခိုက်ရင်း ခရစ်နှစ်-၁၈၂၅ခု၊ ဧပြီ (၁) ရက်နေ့တွင် ကျဆုံးခဲ့သည်။ ထိုစစ်ပွဲသည်	3
 မြန်မာဘုရင်ပိုင်နက်နှင့် အချုပ်အချာအာဏာ ကျရှုံးရန် အဓိက အကြောင်းအရင်း ဖြစ်သည်။	3
ဘကြီးတော်မင်း နန်းတက်သောအခါ မိဖုရားကြီး မယ်နုနှင့် ၎င်း၏ဆွေမျိုးသားချင်းများ၊ 	3
၎င်းတို့၏ အလိုတော်ရိများသည် နန်းတွင်း၌ ဩဇာကြီးမားခဲ့ကြသည်။ ခြုံ၍ကြည့်လျှင် 	3
၎င်းတို့သည် အရည်အသွေးရှိသူများ၊ အစွမ်းထက်သူများ ဖြစ်ကြသည်။ သို့သော် 	3
အများအားဖြင့် ၎င်းတို့သည် ပြင်ပကမ္ဘာအကြောင်းကို သတိမမူသူများဖြစ်၍ 	3
မြန်မာ့အင်အားကို လွန်စွာ အထင်ကြီးနေသူများ ဖြစ်ကြသည်။ မည်သည့်နိုင်ငံနှင့်မဆို 	3
မြန်မာတို့ အလိုကျ ဆက်ဆံနိုင်သည်ဟူ၍လည်း ယူဆကြလေသည်။	3
ဘကြီးတော်မင်း ဘိသိက်မင်္ဂလာ ဆင်ယင်သောအခါ၌ မဏိပူရရာဇာ 	3
မတက်ရောက်ခြင်းသည် မြန်မာတို့ကို မထီလေးစားပြု၍ ပုန်ကန်ခြင်း ဖြစ်သည်ဟု 	3
မြန်မာတို့က ယူဆကြကုန်သည်။ နောင်ကျဉ်သွားစေရန် သင်ခန်းစာ ပေးရမည် ဖြစ်၍ 	3
မြန်မာတပ်ကြီးကို မဏိပူရသို့ သွားရောက် တိုက်ခိုက်စေသည်။ မာဂျစ်ဆင်သည် 	3
နောက်လိုက်နောက်ပါ ထောင်ပေါင်းများစွာဖြင့် အိမ်နီးချင်း နယ်ပယ်ဖြစ်သော 	3
ကချာဒေသတွင်းသို့ ထွက်ပြေး တိမ်းရှောင်လေသည်။ ကချာရာဇာသည် ကြောက်ရွံ့ 	3
ထိတ်လန့်ခြင်းဖြင့် အနီးအနား ဖြစ်သော ဗြိတိသျှပိုင် စပ်လျက်နယ်သို့ ဝင်ပြေးလေသည်။ 	3
ကချာရာဇာ ဂေါဝိန္ဒချန္ဒရသည် ဗြိတိသျှနှင့် မြန်မာ နှစ်ဦးစလုံးထံ အကူအညီ တောင်းသည်။ 	3
ဗြိတိသျှတို့သည် ကချာနှင့် ဂျိန်းတိယ နယ်များတွင် မြန်မာတို့ လွှမ်းမိုးမည်ကို 	3
ထိတ်လန့်လာခဲ့သည်။ ထိုနယ် နှစ်နယ်ကို မြန်မာတို့ သိမ်းပိုက်မိလျှင် မြန်မာတို့ ဘင်္ဂလားသို့ 	3
ဝင်ရောက် စစ်ခင်းမည်မှာ အမှန် ဖြစ်ချေသည်ဟု စိုးရွံ့လာကြသည်။ ထို့ကြောင့် 	3
ဗြိတိသျှတို့သည် ဂျိန်းတိယနှင့် ကချာနယ်များကို ဗြိတိသျှတို့ လက်အောက်ခံ နယ်မြေများ 	3
ဖြစ်သည်ဟု အလျင်အမြန် ကြေညာလိုက်လေသည်။	3
ထိုအတော အတွင်း၌ ရခိုင် နယ်စပ် ပြဿနာသည် ဗြိတိသျှနှင့် မြန်မာတို့ 	3
မလွှဲမရှောင်သာအောင် ပဋိပက္ခ ဖြစ်ပွားရန် ဖန်တီးခဲ့သည်။ အရှေ့အိန္ဒိယ ကုမ္ပဏီမှ 	3
ဆင်လိုက်မုဆိုးများသည် မြန်မာတို့က မြန်မာ့နယ်မြေဟု ယူဆသော နယ်မြေအတွင်းသို့ 	3
ကျူးကျော်ပေါက်ရောက်ခဲ့သဖြင့် မြန်မာတို့က ၎င်းတို့အား ဖမ်းဆီး 	3
ချုပ်နှောင်ထားပြီးနောက် နတ်မြစ်ဝကို အစောင့်အကြပ် ထူထပ်စွာ ချထားလိုက်သည်။ 	3
ဗြိတိသျှတို့ကလည်း နတ်မြစ်ဝရှိ ရှင်မဖြူ (ရှပူရီ)ကျွန်းပေါ်တွင် စစ်တပ်ငယ်တစ်ခု 	3
ချထားသည်။ ၁၈၂၃ ခုနှစ်၊ စက်တင်ဘာလတွင် မြန်မာတို့က ရှင်မဖြူကျွန်းကို တိုက်ခိုက် 	3
သိမ်းယူလိုက်သည်။ အိန္ဒိယရှိ ဘုရင်ခံချုပ် လတ်မင်းကြီး အင်းမတ်စ်သည် ရှင်မဖြူကျွန်းကို 	3
ဗြိတိသျှတို့အား ပြန်အပ်ရန် မြန်မာ အာဏာပိုင်များထံ အကြောင်းကြားသည်။ 	3
