title	category
သိပ္ပံ ဆိုသည်မှာ အင်္ဂလိပ် အခေါ် ဆိုင်းရင့်စ်(Science) ( လက်တင်(Latin) ဘာသာစကား စီရန်ရှား 	0
မှဆင်းသက်လာသော စကားလုံးဖြစ်ပြီး ဗဟုသုတ ဟု အဓိပ္ပါယ်ရသည်။) ဖြစ်ပြီး ကမ္ဘာမြေနှင့် စကြာဝဠာ 	0
အကြောင်းများကို ခန့်မှန်းခြင်းများ၊ ရှင်းလင်းခြင်းတွက်ချက်ခြင်းများ၊ စမ်းသပ်ခြင်းများ၊ တီထွင်ခြင်းများ 	0
စသည် ဖြင့် ဗဟုသုတများစုစည်းတည်ဆောက်ထားသော၊ စံနစ်တကျဖြစ်စေရန် ရည်ရွယ်လုပ်ကိုင်ရသော စီမံကိန်းလုပ်ငန်းစဉ်တစ်ရပ်ဖြစ်သည်။ [၁][၂][၃]	0
ယနေ့တွင် လူသားတို့၏ ဘဝ အရင့်အရင်ကာလများနဲ့စာပါက များစွာမှ တိုးတက်ပြောင်းလဲလာသည်မှာ 	0
သိပ္ပံ ဆိုသည်မှာ အရာခပ်သိမ်းမှန်သမျှကို စနစ်တကျ လက်တွေ့ ဆန်းစစ်လေ့လာသည့် ပညာတရပ်ဖြစ်သည်။ 	0
သိပ္ပံပညာ၏ အကျိုးကျေးဇူး အများကြီး ပါပါသည်။ ထိုသို့ သိပ္ပံဆိုင်ရာ လေ့လာမှုပြုလုပ်သည့် ပညာရပ်ကို 	0
မြန်မာဘာသာစကားအားဖြင့် သိပ္ပံပညာ ဟု ခေါ်သည်။ သိပ္ပံပညာရပ်တွင် လက်တွေ့ သက်သေပြနိုင်မှသာ 	0
မှန်ကန်သည်ဟု ယူဆသည်။ ယခုလက်ရှိ အယူအဆထက် ပိုကောင်းသောအယူအဆ တွေ့ရှိချက်များ 	0
ပေါ်လာလျင်လည်း မူလအား ပယ်ဖျက်ကာ အယူအဆသစ်အား ချက်ချင်းလက်ခံရန် ဝန်မလေးပေ။	0
သိပ္ပံပညာဆိုသည်မှာ သဘာဝတရား၏ ဖြစ်ပျက်ပြောင်းလဲမှုတို့နှင့် 	0
ထိုဖြစ်ပျက်ပြောင်းလဲမှုတို့၏အကြောင်းအကျိုးအမှန်တို့ကို နည်းစံနစ်ကျနစွာလေ့လာအသုံးချနိုင်သောပညာရပ်ကို	0
 ဆိုလိုသည်။ သိပ္ပံပညာသည်နည်းစံနစ်ကျန၍ခိုင်မြဲတိကျရ၏။ ကျွန်ုပ်တို့သည်မွေးကတည်းကစ၍ 	0
ပတ်ဝန်းကျင်၌ဖြစ်ပျက်လျက် ရှိသောဒြဗ်တို့၏အလယ်၌ နေခဲ့ရသည်ဖြစ်၍ 	0
အာရုံခံစားတတ်သည့်အရွွယ်တွင်ကျွန်ုပ်တို့၏ပတ်ဝန်းကျင်ကို အမြင်၊ အကြား၊ အနံ့၊ အရသာ၊ အတွေ့၊ 	0
အထိတည်းဟူသော အာရုံငါးပါးနှင့် တဖြည်းဖြည်းခံစားတတ်လာကြလေသည်။	0
ထိုအတူပင် ကမ္ဘာဦးကတည်းက လူတို့သည် ကမ္ဘာ လောက ကြီးအတွင်း ဖြစ်ပျက်နေသမျှသော အကြောင်းအရာ 	0
တို့ကို အာရုံငါးပါးနှင့် ခံစားတတ်လာကြသောအခါ တဖြည်းဖြည်းနှင့် သူတို့၏ပတ်ဝန်းကျင်ရှိ 	0
အရာဝတ္ထုဒြဗ်တို့၏ ဂုဏ်သတ္တိတို့ကို နားလည်သိရှိလာခဲ့ကြလေသည်။ အို နှင်းဆီပန်းကလေးနှယ်လှလိုက်တာဟု 	0
ဆိုလိုက်သောစကားလုံးများမှာ နှင်းဆီပန်း၏အလှကို စက္ခုအာရုံနှင့်ခံစားမိရာမှဖြစ်ပေါ်လာသော 	0
စကားလုံးများပင် ဖြစ်လေသည်။ နှင်းဆီပန်း၏ရနံ့သည်မွှေးမှန်းသိသကဲ့သို့ပင် နှင်းဆီပန်းအခက်မှ 	0
ဆူးတို့သည်နာကျင်စေတတ်သည်ကိုလည်း ခံစားနိုင်ခဲ့ကြသည်။ သစ်သီးပင်မှသစ်သီးသည်ချိုမြိန်မှန်းကို 	0
