title	category
မြေသယ်ယာဉ် ဘရိတ်ပေါက် ဓာတ်တိုင်ကိုဝင်တိုက်	4
မြစ်ငယ် ဒီဇင်ဘာ ၁ရဒီဇင်ဘာ ၁၇ ရက် ညနေ ၃ နာရီကမန္တလေးတိုင်းဒေသကြီး အမရပူရမြို့နယ် 	4
မြစ်ငယ်တံတားထိပ် ၁၂ မိုင် သံလမ်းကူးဂိတ်၌ မြေသယ်ယာဉ်တစ်စီး ဘရိတ်ပေါက်၍ 	4
ဓာတ်တိုင်တစ်တိုင်ကို ဝင်ရောက်တိုက်မိခဲ့ရာ ဓာတ်တိုင် သုံးပိုင်းပြတ်ကျိုးကျသွားကြောင်း 	4
သိရသည်။ဖြစ်စဉ်မှာမြစ်ငယ်တံတားမှ မောင်းနှင်လာပြီး စစ်ကိုင်း-မြစ်ငယ် ဖြတ်လမ်းအဝင် ရန်ကုန်-	4
မန္တလေး ရထားသံလမ်းဂိတ် ၁၂ မိုင်၌ ယာဉ် မောင်း စောဒိုနေထူး လွိုင်ကော်မြို့ မောင်းနှင်လာသော 	4
မြေသယ်ယာဉ် ၁ဝ ဘီးကားသည် ဘရိတ်ပေါက်ပြီး အရှိန်မထိန်းနိုင်ဘဲ ဓာတ်တိုင်ကို 	4
ဝင်ရောက်တိုက်မိခြင်း ဖြစ်ကြောင်းသိရသည်။အဆိုပါယာဉ်တိုက်မှုတွင် ထိခိုက် သေဆုံးမှုမရှိကြောင်းနှင့် 	4
ရပ်ထားသော မော်တော်ဆိုင်ကယ်အချို့သာ ပျက်စီးမှုရှိခဲ့ကြောင်း သိရသည်။မောင်မောင်စိုး(မြစ်ငယ်)	4
ကျောက်သယ်ကား တိမ်းမှောက် တစ်ဦးသေဆုံး	4
မကွေး ဒီဇင်ဘာ ၁၆မကွေးတိုင်းဒေသကြီး သရက်မြို့နယ် ပိတောက်ပင် ကျေးရွာမူလတန်းကျောင်းအနီး 	4
ဒီဇင်ဘာ ၁၄ ရက် နံနက် ၃ နာရီ ၄၅ မိနစ်က ယာဉ်တစ်စီး တိမ်းမှောက်မှုဖြစ်ပွားပြီး 	4
