title	category
ထိန်းသိမ်းခံ တကသကျောင်းသား ၃ ဦး စာမေးပွဲဖြေခွင့် မရသေး မဉ္ဖူသကလမ်း	0
အင်းစိန်အကျဉ်းထောင်မှာ ဖမ်းဆီးခံထားရတဲ့ တကသပြန်ကြားရေးတာဝန်ခံ ကိုဖိုးသားကို မတ်လ ၉ ရက်နေ့က 	0
တွေ့ရစဉ်။ Photo: Htet Arker/ RFA တရားမဝင်စီတန်းလှည့်လည်မှု ပုဒ်မ ၁၈နဲ့ အင်းစိန်အကျဉ်းထောင်မှာ 	0
ဖမ်းဆီးခံ ထားရတဲ့ တက္ကသိုလ် ကျောင်းသားများသမဂ္ဂ တကသ ကျောင်းသားသုံးယောက်ဟာ လာမယ့် မတ်လ 	0
၁၈ရက်နေ့မှာ စတင်မယ့် တက္ကသိုလ်စာမေးပွဲကို ဖြေဆိုခွင့်ရဖို့ တင်ပြထားပေမယ့် တရားဝင် ခွင့်ပြုချက် 	0
မရရှိသေးဘူးလို့ သိရပါတယ်။ ဒီနေ့ ကျောက်တံတားမြို့နယ် တရားရုံးချိန်းမှာ ဒဂုံတက္ကသိုလ်ကျောင်းသား 	0
တကသပြန်ကြားရေးတာဝန်ခံ ကိုဖိုးသားက စာမေးပွဲဖြေဆိုခွင့်ရဖို့ တင်ပြထားတာနဲ့ ပတ်သက်ပြီး 	0
အခုလိုပြောပါတယ်။ "တက္ကသိုလ်စာမေးပွဲတွေက ၁၈ ရက်နေ့စပြီလို့ပြောတယ်၊ ဒါပေမယ့် စာမေးပွဲဖြေခွင့်နဲ့ 	0
ပတ်သက်လို့ ဒဂုံတက္ကသိုလ်က ဌာနမှူးတွေဆီမှာ ကျနော်အကူအညီတောင်းထား တာ တွေတော့ရှိတယ်၊ 	0
ဒီအကျဉ်းထောင်က စာမေးပွဲဖြေဖို့ တစ်စုံတစ်ရာတာဝန်ယူမှုရှိရင် သူတို့ဖက်ကပေးဖြေမယ်လို့တော့ ပြောတယ်၊ 	0
အခုထိတော့ စာမေးပွဲဖြေဖို့ မသေချာ သေးဘူး" အင်းစိန်အကျဉ်းထောင်မှာ ဒဂုံတက္ကသိုလ်ကျောင်းသား ကိုဖိုးသား၊ 	0
ကိုပိုင်ဖြိုးမင်းနဲ့ စီးပွားရေးတက္ကသိုလ်က ကိုမင်းသူကျော်တို့ ဖမ်းဆီးခံထားရတာဖြစ်ပါတယ်။ သူတို့ဟာ 	0
တရားမဝင်စီတန်းလှည့်လည်မှုပုဒ်မ ၁၈နဲ့ နိုင်ငံတော်အကြည်ညိုပျက်စေမှု ပုဒ်မ ၅၀၅(ခ) တို့ကို Failed Law 	0
စာသားပါ တီရှပ်တွေ ဝတ်ဆင်ပြီး ရန်ကုန်မြို့ မဟာဗန္ဓုလပန်းခြံမှာ ကန့်ကွက်ဆန္ဒပြခဲ့ကြတာဖြစ်ပါတယ်။ RFA 	0
စာမေးပွဲကာလ မန္တလေးခရိုင်အတွင်းKTV၊ စင်တင်နှင့် အရက်ဆိုင်များ ပိတ်ထားရမည့်	0
  တက္ကသိုလ်ဝင်စာမေးပွဲတွေ ဖြေဆိုရမယ့်ရက်တွေအတောအတွင်း မန္တလေးခရိုင်အတွင်းကKTV၊ 	0
စင်တင် တေးဂီတတွေပိတ်ထားဖို့ ထုတ်ပြန်လိုက်ပါပြီ။ တက္ကသိုလ်ဝင်စာမေးပွဲတွေဖြေဆိုနေတဲ့ မတ်လ ၉ ရက်နေ့ကနေ 	0
မတ်လ ၁၈ ရက်နေ့အထိKTV၊ စင်တင်များပိတ်သိမ်းထားရမှာပါ။ ဒါ့အပြင် အရက်ဆိုင်၊ ဘီယာဆိုင်တွေလဲ 	0
မတ်လ၁၆ရက်နေ့ ဇီဝဗေဒနဲ့ဘောဂဗေဒ ဖြေဆိုပြီး စာမေးပွဲနောက်ဆုံးရက်တွေထိ ပိတ်သိမ်းထားရမယ်လို့ 	0
သိရပါတယ်။ ဒီလို ယစ်မျိုးစုံအရက်ဆိုင်တွေပိတ်ဖို့ကို မတ်လ ၁ ရက်နေ့ကတည်းက အသိပေး 	0
အကြောင်းကြားထားပြီး၊ ခံဝန်လက်မှတ်တွေလဲ ထိုးခိုင်းထားပြီးဖြစ်တယ်လို့ မဟာအောင်မြေမြို့နယ် 	0
မြို့နယ်အုပ်ချုပ်ရေးမှူးကပြောပါတယ်။ မြန်မာနိုင်ငံရဲတပ်ဖွဲ့အနေနဲ့လဲ ပြည်နယ်နဲ့တိုင်းတွေမှာ 	0
တက်္ကသိုလ်ဝင်စာမေးပွဲအတွက် လုံခြုံရေး စီမံချက်ရေးဆွဲထားပြီး စာမေးပွဲဖြေဆိုမယ့်ကာလအတွင်း 	0
မလိုလားအပ်တဲ့ပြဿနာတွေ မဖြစ်အောင် မေးခွန်းလွှာသယ်ယူဖို့ကိစ်္စ၊ မေးခွန်လွှာပြန်သိမ်းတဲ့ကိစ္စတွေအတွက် 	0
စာစစ်ဌာနတွေမှာလဲ လုံခြုံရေးပေးသွားမယ်လို့  မန္တလေးတိုင်းဒေသကြီးရဲတပ်ဖွဲ့ရုံးမှ ရဲမှူးကြီးသက်နိုင်က 	0
ပြောပါတယ်။ မန္တလေးခရိုင်အတွင်း ယစ်မျိုးစုံ ရောင်းချခွင့်လိုင်စင် ၂၇၉၀ ကျော်ရှိတယ်လို့ သိရပါတယ်။အခုနှစ် 	0
၂၀၁၆ခုနှစ်တက်္ကသိုလ်ဝင်စာမေးပွဲအတွက် မန္တလေးတိုင်းဒေသကြီးအတွင်း စာဖြေဌာန ၁၆၅ ခုရှိပြီး၊ ကျောင်းသား၊ 	0
သူ ၉၅၀၀၀ ကျော်ဖြေဆိုမှာဖြစ်ပါတယ်။ MRTV-4	0
စာသင်ကျောင်းတစ်ခုတွင် စာသင်ကြားနေသော ဆရာမတစ်ဦးအား တွေ့ရစဉ် (ဓာတ်ပုံ -- အင်တာနက်)  	0
ရန်ကုန်၊မတ်လ၆ရက်(ဆင်ဟွာ)    အခြေခံဆရာ၊ ဆရာမ လိုအပ်ချက် မြင့်မားလာမှုကို ကာမိစေရန် ရည်ရွယ်၍ 	0
ပညာရေး ဝန်ကြီးဌာနက  လာမည့် ပညာသင်နှစ် အတွင်း ဆရာ တစ်သိန်းကျော် ခန့်အပ်သွားမည် ဖြစ်ကြောင်း 	0
ပညာရေးဝန်ကြီးဌာန မှ တာဝန်ရှိသူ တစ်ဦးကပြောသည်။ ပညာရေးကဏ္ဍ ပြုပြင် ပြောင်းလဲမှုများကို ဆက်တိုက် 	0
ဆောင်ရွက်လျက် ရှိခြင်းကြောင့် ယခုအခါ ကျောင်းနေနှုန်း မြင့်မားကာ စာတတ်မြောက်မှု နှုန်းထားမှာ ၉၅ ရာခိုင်နှုန်း 	0
ကျော်ရှိလာခဲ့ ပြီဖြစ်ကြောင်း၊ လာမည့် ပညာသင်နှစ် တွင် ဆယ့်နှစ်တန်း ပညာရေးစနစ် စတင်တော့မည် ဖြစ်၍ ဆရာ 	0
လိုအပ်ချက် ဖြည့်ဆည်းရင်း နေ့စားလပေး ဆရာများ ဝင်ရောက် လုပ်ကိုင်ခွင့် အတွက် ဝင်ခွင့် စာမေးပွဲများ 	0
ဖြေဆိုရမည် ဖြစ်ကြောင်း သိရသည်။ ဝင်ခွင့် စာမေးပွဲအတွက် အင်္ဂလိပ်စာနှင့် အထွေထွေ ဗဟုသုတကို ကြိုတင် 	0
