title	category
ကောင်းမွန်မှန်ကန်တဲ့ အိပ်စက်မှုပုံစံအတွက် အပြောင်းအလဲလုပ်သင့်တဲ့ အချက်၄ချက်	2
အိပ်စက်မှုပုံစံမှန်ကန်ဖို့က အရေးအကြီးဆုံးဆိုတာ အသေအချာပါပဲ။ ညဘက်ကောင်းစွာအိပ်ပျော်ခြင်းက 	2
လုပ်ငန်းခွင်မှာလည်း အကျိုးသက်ရောက်မှုရှိသလိို စွမ်းအင်တွေလည်း ပြည့်ဝစေတဲ့အပြင် နှလုံးရောဂါ၊ 	2
စိတ်ခံမှုကောင်းမွန်ခြင်းနဲ့ အသက်ရှည်ကျန်းမာစွာ နေထိုင်နိုင်မှုတွေလည်း ရရှိစေနိုင်ပါတယ်။ ဒါကြောင့် ညဘက်မှာ 	2
နှစ်နှစ်ခြိုက််ခြိုက်အိပ်ပျော်စေဖို့ နည်းလမ်းကောင်းလေးတွေ ဝေမျှလိုက်ပါတယ်။ကဖိန်းဓါတ်ကို 	2
ထိန်းချုပ်ပါလူအများစုဟာ ကဖိန်းဓါတ် အထူးသဖြင့် ကော်ဖီကို ဆုလဘ်တစ်ခုလို စွဲစွဲမြဲမြဲသောက်သုံးနေကြပါတယ်။ 	2
ဒါဟာ အိပ်စက်မှုပုံစံကို နှောက်ယှက်ပေးမှုတွေထဲက တစ်ခုပါပဲ။ လုံးဝကော်ဖီသောက်သုံးခြင်းကို 	2
ရပ်တန့်လိုက်ဖို့မလိုပါဘူး။ နာရီတွေကို မဟုတ်ဘဲ အချိန်ပေါ်ကို အာရုံစိုက်ပါ ပြီးပြည့်စုံတဲ့ အိပ်စက်မှုကို 	2
နာရီပေါင်းဘယ်လောက်အိပ်လိုက်တယ်ဆိုတာထက် မှန်ကန်တဲ့အချိန်မှာ အိပ်စက်နိုင်ဖို့က 	2
မှန်ကန်တဲ့ အိပ်စက်ချိန်က ည ၁၀ နာရီကနေ မနက် ၂ နာရီကြားထိဖြစ်ပြီး 	2
အဲဒီအချိန်တွေမှာဆိုရင် နုပျိုစေတဲ့ဟော်မုန်းဓါတ်တွေကို ခန္ဓာကိုယ်က ပိုမိုစုပ်ယူနိုင်တယ်လို 	2
အစားအသောက်ကိုလည်း ဂရုစိုက်ပါကိုယ့်ရဲ့ စားသောက်မှုပုံစံကလည်း အိပ်စက်မှုအပေါ်	2
အော်ဂဲနစ်အစားအသောက်တွေကို စားသောက်ပြီး ကျန်းမာရေးနဲ့ညီညွတ်တဲ့ 	2
စားသောက်မှုပုံစံက ပိုမိုကောင်းမွန်တဲ့ အိပ်စက်မှုပုံစံကို ရရှိစေနို်င်ပါသတဲ့။ ဗိုက်တာမင် စီ၊ ပိုတက်ဆီယမ်နဲ့ 	2
အိုမီဂါ -3 စတဲ့ ဓါတ်တွေမပြည့်ဝတဲ့အခါ အိပ်စက်မှုကို အနှောက်အယှက်ဖြစ်စေနိုင်ပါတယ်။သက်တောင့်သက်သာ 	2
ဝတ်ဆင်ပါအိပ်ယာဝင်တော့မယ်ဆိုရင် ပေါ့ပါးလွတ်လပ်ပြီး သက်တောင့်သက်သာရှိစေမယ့် ညအိပ်ဝတ်စုံမျိုး 	2
၆ လနဲ့ ၈ လသားအရွယ် ကလေးငယ်များအတွက် သင့်တော်တဲ့ သရက်သီးနဲ့ငှက်ပျောသီးအနှစ်	2
ရင်သွေးငယ်လေးအတွက် အစားအစာချက်ပြုတ်ဖို့က မခက်ခဲပါဘူး။ လွယ်ကူမြန်ဆန်တဲ့ 	2
အကောင်းဆုံးနည်းလမ်းတွေ ရှိတဲ့အပြင် ကျန်းမာရေးအကျိုးကျေးဇူးတွေ ရရှိနိုင်တဲ့ လတ်ဆတ်သန့်ရှင်းတဲ့ 	2
အသီးအနှံနဲ့ ဟင်းသီးဟင်းရွက်တွေကို ကလေးလေး ကြိုက်နှစ်သက်လာအောင်လည်း ပြုလုပ်ပေးနိုင်ပါတယ်။ 	2
လသားကနေ ၈ လသားအရွယ်ထိ အကောင်းဆုံး ကျွေးမွေးနိုင်တဲ့ အိမ်မှာပဲပြုလုပ်လို့ရတဲ့ ဟင်းသီးဟင်းရွက် 	2
အနှစ်တိုက်ဟင်းလုပ်နည်းတစ်ခု ဖော်ပြပေးလိုက်ပါတယ်။သရက်သီးနဲ့ ငှက်ပျောသီး အနှစ်ဟင်းနူးညံမွှေးပျံ့တဲ့ 	2
သရက်သီးနဲ့ ငှက်ပျောသီးတွေက ဗိုက်သေးသေးလေးအတွက် အကောင်းဆုံးအစားအစာတွေဖြစ်ပြီး 	2
ပြလုပ်ရ လွယ်ကူ လျင်မြန်တာကြောင့် နာမည်ကျော် လူကြိုက်များလှပါတယ်။	2
၆ လနဲ့အထက် ကလေးငယ်လေးတွေအတွက် ပြုလုပ်ပြင်ဆင်ဖို့ဆိုရင်တော့ပါဝင်ပစ္စည်းများ -သရက်သီးအသေး	2
ငှက်ပျောသီးနဲ့ သရက်သီးကို အတုံးလေးတွေတုံးပါ။ 	2
ကလေးရဲ့ ၀ါးစားနိုင်မှုအခြေအနေပေါ် မူတည်ပြီး အနှစ် သို့ အတုံးသေးသေးလေးတွေ ကျန်တဲ့အထိ ရောမွှေနိုင်ပါတယ်။ 	2
ရေ၊ မိခင်နို့၊ နို့မှုန့်စသည်တိို့ကိုလည်း လိုအပ်သလို ထည့်သွင်းရောနှော ကျွေးမွေးနိုင်ပါတယ်။	2
ထည့်စရာဗူးလေးထဲမှာ ထည့်သွင်းပြီး ရေခဲသေတ္တာထဲမှာလည်း ၃ ရက်ခန့်အထိ အအေးခံသိမ်းဆည်းထားတာပဲဖြစ်ဖြစ်	2
ရေခဲခန်းထဲမှာ ထည့်ပြီး ၃ လခန့်အထိ အေးခဲထားနိုင်ပါတယ်။	2
နေ့စဉ်စားသုံးနေတဲ့ အစားအသောက်တွေထဲက ရှောင်ရှားသင့်တဲ့ အစားအစာ (၆)မျိုး	2
နေ့စဉ်စားသုံးနေတဲ့ အစားအစာတွေထဲက အချို့ဟာ ရှောင်ရှားသင့်တယ်လို့ အစာအဆိပ်သင့်တာတွေနဲ့ပတ်သက်ပြီး 	2
ကျွမ်းကျင်သူတစ်ဦးက ဆိုပါတယ်။အစာအဆိပ်သင့်တာတွေနဲ့ ပတ်သက်ပြီးနှစ်ပေါင်းနှစ်ဆယ်ကြာအောင် 	2
