title	category
မြန်မာ အမျိုးသား ဘောလုံး အကယ်ဒမီဖွင့်ပွဲ ဖီဖာဥက္ကဋ္ဌတက်	1
အခု အသစ် ဖွင့်လှစ်လိုက်တဲ့ကျောင်းအတွက် လူရွေးပွဲတွေကိုတော့ မြန်မာနိုင်ငံတလွှား မြို့နယ် ၅၂ 	1
မြို့နယ်မှာ လာမယ့် မတ်လမှာ ပြုလုပ်သွားမှာ ဖြစ်	1
ဖေဖော်ဝါရီလ ၁ရရက်နေ့က ကမ္ဘာ့ဘောလုံးအဖွဲ့ချုပ် ဖီဖာဥက္ကဋ္ဌ ဂျီယန်နီ အင်ဖန်တီနိုဟာ ရန်ကုန်မှာ 	1
ဖွင့်လှစ်တဲ့ မြန်မာနိုင်ငံ အမျိုးသားဘောလုံး သင်တန်းကျောင်း ဖွင့်ပွဲကို တက်ရောက်ခဲ့ပါတယ်။	1
ဒီဖွင့်ပွဲကို ဖီဖာ ဥက္ကဋ္ဌနဲ့အတူ ဖီဖာက တာဝန်ရှိသူတွေသာမက အာရှနဲ့ အာဆီယံ 	1
ဘောလုံးအဖွဲ့ချုပ်တွေက တာဝန်ရှိသူတွေလည်း တက်ရောက်ခဲ့ပါတယ်။	1
ဒီသင်တန်းကျောင်းဟာ သင်္ဃန်းကျွန်းမြို့နယ်မှာရှိတဲ့ မြန်မာဘောလုံးအဖွဲ့ချုပ်ရုံးအနီးက 	1
သုဝဏ္ဏကွင်းရှေ့မှာ ဆောက်လုပ်ခဲ့တာ ဖြစ်ပြီး မြက်ခင်းတုကွင်း လေ့ကျင့်ရေး ကွင်း ၂ ကွင်းလည်း ပါဝင်တယ်လို့ သိရပါတယ်။	1
ဒီသင်တန်းကျောင်းဖွင့်လှစ်နိုင်ရေးအတွက် ဖီဖာရဲ့ ထောက်ပံ့ငွေ အမေရိကန် ဒေါ်လာ ငါးသိန်း 	1
အပါအဝင် မြန်မာနိုင်ငံ ဘောလုံးအဖွဲ့ချုပ် ဥက္ကဋ္ဌ ဦးဇော်ဇော် တည်ထောင်ထားတဲ့ 	1
ဧရာဝတီဖောင်ဒေးရှင်းရဲ့ ရန်ပုံငွေနဲ့ တည်ဆောက်ခဲ့တာ ဖြစ်ပြီး စုစုပေါင်း ဒေါ်လာ သုံးသန်းနီးပါး ကုန်ကျခဲ့ပါတယ်။	1
ဒီသင်တန်းကျောင်းဟာ ဘောလုံးစွမ်းရည် အလားအလာရှိတဲ့ အသက် ၁၁ နှစ် အထက် လူငယ်တွေကို 	1
ရွေးချယ်သွားမှာ ဖြစ်ပြီး ဘောလုံးနဲ့အတူ ပညာရေးလည်း မပျက်ပဲ သင်ယူနိုင်တဲ့အတွက် 	1
ဘောလုံးဝါသနာရှင် လူငယ်တွေအတွက် အများကြီး အကျိုးရှိမှာ ဖြစ်တယ်လို့ အသက် ၁၉ နှစ်အောက် 	1
မြန်မာ့လက်ရွေးစင်အသင်း နည်းပြချုပ် ဦးမျိုးလှိုင်ဝင်းက ဘီဘီစီကို ပြောပါတယ်။	1
အခု အသစ် ဖွင့်လှစ်လိုက်တဲ့ကျောင်းအတွက် လူရွေးပွဲတွေကိုတော့ မြန်မာနိုင်ငံတလွှား မြို့နယ် ၅၂ 	1
မြို့နယ်မှာ လာမယ့် မတ်လမှာ ပြုလုပ်သွားမှာ ဖြစ်ပါတယ်။	1
ဒီသင်တန်းကျောင်းဟာ မြန်မာနိုင်ငံအတွက် သုံးကျောင်းမြောက် အမျိုးသား ဘောလုံး 	1
သင်တန်းကျောင်းဖြစ်ပြီး မန္တလေးနဲ့၊ ပုသိမ်မှာလည်း အလားတူ ကျောင်းတွေ ဖွင့်လှစ်ခဲ့ပြီး ဖြစ်ပါတယ်။	1
ဒီကျောင်းတွေမှာတော့ နယ်အသီးသီးက ထူးချွန်တဲ့ လူငယ်ဘောလုံးသမားတွေကို စောင့်ကြည့်ပြီး 	1
ခေါ်ယူ လေ့ကျင့်နိုင်ဖို့ အတွက် အဖွဲ့တွေ ဖွဲ့ပြီး လုပ်ဆောင်မှုတွေ ရှိနေတယ်လို့ ဦးမျိုးလှိုင်ဝင်းက ပြောပါတယ်။	1
ဆရီနာဝီလျံ တင်းနစ် ဂရမ်းစလမ်း စံချိန်သစ်တင်	1
ဆရီနာဝီလျံ အောင်ပွဲခံနေစဉ်၊ ၂၈ ဇန်နဝါရီ ၂၀၁၇။	1
သြစတြေးလျအိုးပင်းတင်းနစ် အမျိုးသမီးတဦးချင်း နောက်ဆုံးဖိုင်နယ်မှာတော့ ဆရီနာဝီလီယံ ဗိုလ်စွဲပြီး၊ 	1
ဂရန်းစလမ်းဆုဖလားကို ၂၃ ကြိမ်မြောက် ဗိုလ်စွဲသွားပါတယ်။ မဲလ်ဘုန်းမြို့က Rod Laver 	1
တင်းနစ်ကွင်းကြီးမှာ စနေနေ့က ဆရီနာဝီလီယံ နဲ့ ဗီးနပ်ဝီလီယံတို့ အကြိတ်အနယ် ကစားခဲ့ကြတာမှာ 	1
ဆရီနာက ၆-၄၊ ၆-၄ နဲ့ ၂ ပွဲ ပြတ် အနိုင်ရပြီး ဗိုလ်စွဲသွားခဲ့တာပါ။ ဒီပွဲကိုနိုင်လိုက်တဲ့အတွက် ဆရီနာဟာ 	1
